id;idade;sexo;estado_civil;escola;Qte_dependentes;tempo_ultimoservico;trabalha;vl_salario_mil;reg_moradia;casa_propria;vl_imovel_em_mil;Qte_cartoes;Qte_carros;SCORE_CREDITO
708082083;45;F;casado;graduacao;3;40;1;40,089665024322;3;0;0;1;1;778
708083283;58;M;solteiro;ensino fundam;0;44;1;66,557645274838;3;0;0;1;0;276,3
708084558;46;M;divorciado;doutorado;3;35;1;123,68182089138;6;0;0;1;1;401
708085458;34;F;solteiro;mestrado;0;22;1;19,7159343168329;6;0;0;1;0;347,4
708086958;49;F;casado;mestrado;2;36;0;0;3;1;437;1;2;476
708095133;43;M;na;doutorado;4;32;1;182,752690343938;5;0;0;1;1;522,9
708098133;32;F;casado;ensino medio;0;18;1;15,9065038118448;6;0;0;1;0;186
708099183;37;F;solteiro;graduacao;0;34;1;18,4639412736461;4;0;0;1;0;377,1
708100533;55;F;solteiro;ensino fundam;0;33;1;24,8128023783198;3;0;0;1;1;502,2
708103608;52;M;solteiro;graduacao;0;47;1;124,484505676864;1;1;1580;1;1;804,6
708104658;46;M;na;ensino medio;1;33;1;65,22653771544;4;0;0;1;1;407
708108333;47;F;casado;ensino medio;3;33;0;0;3;1;151;1;1;284
708112008;56;M;casado;ensino medio;2;34;1;133,49363793948;4;0;0;1;1;479
708113208;53;F;casado;graduacao;1;34;1;23,409878524164;3;1;438;1;1;435
708117933;44;F;divorciado;ensino medio;2;34;1;18,947167223616;3;1;247;1;1;345
708119658;49;F;casado;ensino medio;4;36;1;67,4186604744876;4;0;0;1;1;433
708121908;48;M;casado;mestrado;4;33;1;127,89951075504;2;1;205;1;1;533
708123033;41;F;solteiro;ensino medio;0;29;1;37,3627245894606;2;1;1451;2;0;598,5
708125733;46;F;divorciado;ensino fundam;2;33;1;22,3309172545992;4;0;0;1;1;478
708128733;50;F;solteiro;doutorado;0;32;1;105,121566101664;5;0;0;1;1;567,9
